T,wCO2,rho_s,rho_fl,mu_fl,wC_s,wC_fl,wMg_s,wSi_s,wH_s,Dolomite,Talc,Magnesite,Chlorite,Orthopyroxene,Olivine,"q,tc-ds633","cor,tc-ds633","hem,tc-ds633","lime,tc-ds633","cc,tc-ds633"
1073.15,0,3304.92167968212,1159.00063344699,-577763.295386064,0,6.66727718534792e-10,0.228406144180604,0.202919340290244,0.00165842886765258,0,0,0,0.14157692072404,0.441135531870099,0.349640318701038,0,0,0.056758693958019,0.010888534746804,0
1073.15,0.100200400801603,3303.19678592785,1159.00065731915,-549936.99604288,0.000295790726413109,7.42419683180802e-08,0.228158599249793,0.202699417773569,0.00165663108574495,0,0,0,0.141349636280701,0.440427481719324,0.349079073544771,0,0,0.056667600102083,0.00949718332926186,0.00297902502385903
1073.15,0.200400801603206,3301.47694002654,1159.00065731184,-549937.327826508,0.000591019964415385,7.42390561670559e-08,0.227911523739393,0.202479912296813,0.00165483716241096,0,0,0,0.141123056991833,0.439721471242347,0.348519493969796,0,0,0.0565767614600971,0.00810992043962656,0.00594929589630023
1073.15,0.30060120240481,3301.47694002654,1159.00065731184,-549937.327826508,0.000591019964415385,7.42390561670559e-08,0.227911523739393,0.202479912296813,0.00165483716241096,0,0,0,0.141123056991833,0.439721471242347,0.348519493969796,0,0,0.0565767614600971,0.00810992043962656,0.00594929589630023
1073.15,0.400801603206413,3298.05373996345,1159.00065731184,-549937.327826508,0.00117956433877864,7.42390561670559e-08,0.227418974867152,0.202042324715383,0.00165126082645078,0,0,0,0.140672060275241,0.438316222915301,0.347405706111176,0,0,0.0563959551893301,0.00534869482436988,0.011861360684582
1073.15,0.501002004008016,3298.05373996345,1159.00065731184,-549937.327826508,0.00117956433877864,7.42390561670559e-08,0.227418974867152,0.202042324715383,0.00165126082645078,0,0,0,0.140672060275241,0.438316222915301,0.347405706111176,0,0,0.0563959551893301,0.00534869482436988,0.011861360684582
1073.15,0.601202404809619,3298.05373996345,1159.00065731184,-549937.327826508,0.00117956433877864,7.42390561670559e-08,0.227418974867152,0.202042324715383,0.00165126082645078,0,0,0,0.140672060275241,0.438316222915301,0.347405706111176,0,0,0.0563959551893301,0.00534869482436988,0.011861360684582
1073.15,0.701402805611222,3292.95976974785,1159.00065731915,-549936.99604288,0.002057626583465,7.42419683180802e-08,0.226684130538954,0.201389478327083,0.00164592515263805,0,0,0,0.140000939031884,0.436225112696468,0.345748311623501,0,0,0.0561269023092501,0.00123978944648017,0.0206589448924177
1073.15,0.801603206412826,3291.42607383666,1159.00869697407,-498479.693963924,0.00232310136776164,2.47889440711273e-05,0.226462083747229,0.201192208728,0.00164425053905691,0,0,0,0.139793341311795,0.43559634828567,0.345251005629464,0,0,0.056045808113531,0,0.0233134966595402
1073.15,0.901803607214429,3291.42607383666,1159.00869697407,-498479.693963924,0.00232310136776164,2.47889440711273e-05,0.226462083747229,0.201192208728,0.00164425053905691,0,0,0,0.139793341311795,0.43559634828567,0.345251005629464,0,0,0.056045808113531,0,0.0233134966595402
1073.15,1.00200400801603,3291.49780823623,1159.18939552303,-470433.737521474,0.00232312937006887,0.000578082166899516,0.226464813486419,0.201194633867996,0.00164292157073033,0,0,0,0.139683012062541,0.435643790446915,0.345311206529517,0,0,0.0560477051762014,0,0.0233142857848266
1073.15,1.10220440881764,3291.49780823623,1159.18939552303,-470433.737521474,0.00232312937006887,0.000578082166899516,0.226464813486419,0.201194633867996,0.00164292157073033,0,0,0,0.139683012062541,0.435643790446915,0.345311206529517,0,0,0.0560477051762014,0,0.0233142857848266
1073.15,1.20240480961924,3291.56932087963,1159.37072011823,-464513.001203349,0.00232315728982372,0.00112912386603486,0.226467535178184,0.201197051858543,0.001641596520277,0,0,0,0.13957300520813,0.435691106343975,0.345371219424265,0,0,0.0560495965005176,0,0.0233150725231125
1073.15,1.30260521042084,3291.56932087963,1159.37072011823,-464513.001203349,0.00232315728982372,0.00112912386603486,0.226467535178184,0.201197051858543,0.001641596520277,0,0,0,0.13957300520813,0.435691106343975,0.345371219424265,0,0,0.0560495965005176,0,0.0233150725231125
1073.15,1.40280561122244,3291.56932087963,1159.37072011823,-464513.001203349,0.00232315728982372,0.00112912386603486,0.226467535178184,0.201197051858543,0.001641596520277,0,0,0,0.13957300520813,0.435691106343975,0.345371219424265,0,0,0.0560495965005176,0,0.0233150725231125
1073.15,1.50300601202405,3291.67579910632,1159.64386163315,-459709.618124462,0.00232319885558128,0.00195149502623089,0.226471587118491,0.20120065166124,0.00163962384085443,0,0,0,0.139409220831417,0.435761541650588,0.345460581112059,0,0,0.0560524125038117,0,0.0233162439021252
1073.15,1.60320641282565,3291.65271512128,1159.72091976021,-458736.035993118,0.00236872986747387,0.00218185896689436,0.226435374447783,0.201168479797929,0.00163843404259367,0.000810632061894965,0,0,0.139306937968712,0.436106067231226,0.344881640255826,0,0,0.0560430567331669,0,0.0228516657491732
1073.15,1.70340681362725,3291.65271512128,1159.72091976021,-458736.035993118,0.00236872986747387,0.00218185896689436,0.226435374447783,0.201168479797929,0.00163843404259367,0.000810632061894965,0,0,0.139306937968712,0.436106067231226,0.344881640255826,0,0,0.0560430567331669,0,0.0228516657491732
1073.15,1.80360721442886,3290.97882980512,1159.72108686853,-458734.051837315,0.00294915610300617,0.00218235766698499,0.225959177065784,0.200745419118236,0.00163029419642279,0.0111449160590501,0,0,0.138586648859816,0.440247256090718,0.337182555301439,0,0,0.0559137479318136,0,0.0169248757571631
1073.15,1.90380761523046,3290.97882980512,1159.72108686853,-458734.051837315,0.00294915610300617,0.00218235766698499,0.225959177065784,0.200745419118236,0.00163029419642279,0.0111449160590501,0,0,0.138586648859816,0.440247256090718,0.337182555301439,0,0,0.0559137479318136,0,0.0169248757571631
1073.15,2.00400801603206,3290.30830051611,1159.72123995509,-458732.224326716,0.00352719053920345,0.00218281451395653,0.225484963867102,0.200324121215858,0.00162217732930722,0.0214324943748812,0,0,0.137868737211989,0.444370224933442,0.329518582853544,0,0,0.055785035174341,0,0.0110249254518025
