T,wCO2,rho_s,rho_fl,mu_fl,wC_s,wC_fl,wMg_s,wSi_s,wH_s,Dolomite,Antigorite,Talc,Magnesite,Chlorite,"q,tc-ds633","mt,tc-ds633","hem,tc-ds633","lime,tc-ds633","cc,tc-ds633"
573.15,0,2774.6302442607,920.677386314946,-257644.403334528,0,0,0.208024390435171,0.184811893842958,0.011495524212214,0,0.864968613588947,0.073045080665869,0,0,0,0.0328044353562754,0.0208569355271442,0.00832493486176435,0
573.15,0.100200400801603,2773.88405086054,920.677386314946,-257644.403334528,0.000269494076251355,0,0.207818978433394,0.184629402833192,0.0114841730498096,0,0.863882117248311,0.0729533279576226,0,0,0,0.0327632293536399,0.0208307369070196,0.00726342066077242,0.00230716787263472
573.15,0.200400801603206,2773.13972971167,920.677386314946,-257644.403334528,0.000538456458028414,0,0.207613971696281,0.184447271866448,0.0114728442825184,0,0.86279834700278,0.0728618054633213,0,0,0,0.0327221267397392,0.0208046040210604,0.00620456987295522,0.00460854690014374
573.15,0.30060120240481,2773.13972971167,920.677386314946,-257644.403334528,0.000538456458028414,0,0.207613971696281,0.184447271866448,0.0114728442825184,0,0.86279834700278,0.0728618054633213,0,0,0,0.0327221267397392,0.0208046040210604,0.00620456987295522,0.00460854690014374
573.15,0.400801603206413,2771.65667605268,920.677386314946,-257644.403334528,0.00107479241976039,0,0.207205169228128,0.184084085808365,0.0114502536686925,0,0.860638943859974,0.0726794476594907,0,0,0,0.0326402301255829,0.0207525344645227,0.00409481854106055,0.00919402534936957
573.15,0.501002004008016,2771.65667605268,920.677386314946,-257644.403334528,0.00107479241976039,0,0.207205169228128,0.184084085808365,0.0114502536686925,0,0.860638943859974,0.0726794476594907,0,0,0,0.0326402301255829,0.0207525344645227,0.00409481854106055,0.00919402534936957
573.15,0.601202404809619,2771.65667605268,920.677386314946,-257644.403334528,0.00107479241976039,0,0.207205169228128,0.184084085808365,0.0114502536686925,0,0.860638943859974,0.0726794476594907,0,0,0,0.0326402301255829,0.0207525344645227,0.00409481854106055,0.00919402534936957
573.15,0.701402805611222,2769.44596264953,920.677386314946,-257644.403334528,0.0018753477519435,0,0.206594975209749,0.183541980568147,0.0114165340644781,0,0.857420030342131,0.0724076160648255,0,0,0,0.0325181509671527,0.0206749169988108,0.000949918477288799,0.016029367149791
573.15,0.801603206412826,2767.92547033793,920.680107435375,-454482.95118321,0.00211685442168926,2.729996601867e-05,0.206356584339316,0.183330190651842,0.011432574641025,0,0.859173878067534,0.0702198511817293,0,0,0,0.030659907492544,0.0218626732866118,0,0.0180836899715813
573.15,0.901803607214429,2767.92547033793,920.680107435375,-454482.95118321,0.00211685442168926,2.729996601867e-05,0.206356584339316,0.183330190651842,0.011432574641025,0,0.859173878067534,0.0702198511817293,0,0,0,0.030659907492544,0.0218626732866118,0,0.0180836899715813
573.15,1.00200400801603,2767.94354529233,920.74085550578,-439500.761513812,0.00211686615010019,0.000636512091399156,0.206357727655926,0.183331206390946,0.0114320180195107,0,0.859116138621317,0.0702644312480567,0,0,0,0.0306985375159604,0.0218369843608095,0,0.0180839082538564
573.15,1.10220440881764,2767.94354529233,920.74085550578,-439500.761513812,0.00211686615010019,0.000636512091399156,0.206357727655926,0.183331206390946,0.0114320180195107,0,0.859116138621317,0.0702644312480567,0,0,0,0.0306985375159604,0.0218369843608095,0,0.0180839082538564
573.15,1.20240480961924,2767.94354529233,920.74085550578,-439500.761513812,0.00211686615010019,0.000636512091399156,0.206357727655926,0.183331206390946,0.0114320180195107,0,0.859116138621317,0.0702644312480567,0,0,0,0.0306985375159604,0.0218369843608095,0,0.0180839082538564
573.15,1.30260521042084,2768.81094933935,920.809068648848,-436051.916671686,0.00231490556281272,0.00131999337234783,0.206255915922581,0.183240755366354,0.0113999611641939,0.00299055669542331,0.856122739034213,0.0721201722190248,0,0,0,0.0302611538190771,0.0221259888573812,0,0.0163793893748809
573.15,1.40280561122244,2769.94406036642,920.8091400845,-436049.363525675,0.00257960681340832,0.00132070878818592,0.206118105713995,0.183118322772819,0.011357947562545,0.0069909204666504,0.852205444610079,0.0745354355076454,0,0,0,0.0296179735536758,0.0225512216691363,0,0.0140990041928134
573.15,1.50300601202405,2769.94406036642,920.8091400845,-436049.363525675,0.00257960681340832,0.00132070878818592,0.206118105713995,0.183118322772819,0.011357947562545,0.0069909204666504,0.852205444610079,0.0745354355076454,0,0,0,0.0296179735536758,0.0225512216691363,0,0.0140990041928134
573.15,1.60320641282565,2772.20552110422,920.809287773798,-436044.082966238,0.00310790432575387,0.00132218797917999,0.205842879041046,0.182873807393841,0.0112741833633958,0.0149848692565282,0.844386516820065,0.0793548571394696,0,0,0,0.0283266106087324,0.0234050189225789,0,0.00954212725262561
573.15,1.70340681362725,2772.20552110422,920.809287773798,-436044.082966238,0.00310790432575387,0.00132218797917999,0.205842879041046,0.182873807393841,0.0112741833633958,0.0149848692565282,0.844386516820065,0.0793548571394696,0,0,0,0.0283266106087324,0.0234050189225789,0,0.00954212725262561
