T,wCO2,rho_s,rho_fl,mu_fl,wC_s,wC_fl,wMg_s,wSi_s,wH_s,Dolomite,Antigorite,Talc,Magnesite,Chlorite,Orthopyroxene,Olivine,"q,tc-ds633","cor,tc-ds633","mt,tc-ds633","hem,tc-ds633","lime,tc-ds633","cc,tc-ds633"
573.15,0,2811.40866451959,1167.73902931059,-456255.800747086,0,6.66719466583818e-10,0.207043207990575,0.183940197089458,0.0119690844921859,0,0.912175101262147,0.03511041464289,0,0.00114457569415825,0,0,0,0,0,0.0432565772675923,0.00831333113321219,0
573.15,3,2835.56042133198,1167.75876663826,-412126.345273691,0.00784571843502137,3.60628486055968e-05,0.202881388804413,0.180242776397501,0.0107610356772504,0.0316692575852402,0.797445605110179,0.103122354719506,0.0250115753214394,0,0,0,0,0,0,0.0427512072636352,0,0
573.15,6,2874.71262555936,1167.76336979308,-411128.030472041,0.0154517097991011,4.44723966796193e-05,0.199484097091454,0.177224573031562,0.00928228107447318,0.031480189750678,0.652477539735591,0.195948736841378,0.0774777985765525,0,0,0,0,0,0,0.0426157350958008,0,0
573.15,9,2913.75056088274,1167.76610328726,-410621.193841087,0.0228097795555369,4.94661942711892e-05,0.196197542031061,0.174304749718249,0.00785172731769787,0.0313376324164123,0.482399205114818,0.290271507363612,0.129214991790538,0.024293856679693,0,0,0,0,0,0.0424828066349257,0,0
573.15,12,2952.5774694652,1167.76775584508,-410339.077056606,0.0299308057746394,5.24850711455275e-05,0.193016864824909,0.171478989830466,0.00646725949569571,0.0312142782329319,0.297603285586421,0.385263549333388,0.180500516723135,0.0630673547657684,0,0,0,0,0,0.0423510153583557,0,0
573.15,15,2991.11345530429,1167.76887671981,-410156.814396092,0.0368253315968156,5.45327442918342e-05,0.189937356274441,0.16874310964773,0.00512682781421124,0.0311003687809095,0.107684445339124,0.48015966223744,0.231418504785983,0.107417765975587,0,0,0,0,0,0.0422192528809563,0,0
573.15,18,3011.26561048593,1167.84019345354,-404348.710085758,0.0432734511564043,0.00018477264651497,0.186433047517996,0.165629830783966,0.00417444774249828,0.0307219305618803,0,0.494684464992403,0.278795640940458,0.131602042179517,0,0,0.0224764081863496,0,0,0.0417195131393914,0,0
573.15,21,3011.26561048593,1167.84019345354,-404348.710085758,0.0432734511564043,0.00018477264651497,0.186433047517996,0.165629830783966,0.00417444774249828,0.0307219305618803,0,0.494684464992403,0.278795640940458,0.131602042179517,0,0,0.0224764081863496,0,0,0.0417195131393914,0,0
573.15,24,3004.20324800403,1167.84237396342,-404247.343664283,0.0552161348310333,0.000188753440717233,0.178267278023259,0.158375242406851,0.00321913259602138,0.0292957706348687,0,0.317925292208358,0.363054054353467,0.125784504483179,0,0,0.124141740025216,0,0,0.0397986382949124,0,0
573.15,27,3004.20324800403,1167.84237396342,-404247.343664283,0.0552161348310333,0.000188753440717233,0.178267278023259,0.158375242406851,0.00321913259602138,0.0292957706348687,0,0.317925292208358,0.363054054353467,0.125784504483179,0,0,0.124141740025216,0,0,0.0397986382949124,0,0
573.15,30,2997.76431962301,1167.84383437764,-404180.650891696,0.0661572542796458,0.000191419577602632,0.170786115136612,0.151728868496866,0.00234403537087256,0.0279987818782911,0,0.156726460328089,0.439855992996886,0.120501050310477,0,0,0.216870986418887,0,0,0.0380467280673698,0,0
573.15,33,2997.76431962301,1167.84383437764,-404180.650891696,0.0661572542796458,0.000191419577602632,0.170786115136612,0.151728868496866,0.00234403537087256,0.0279987818782911,0,0.156726460328089,0.439855992996886,0.120501050310477,0,0,0.216870986418887,0,0,0.0380467280673698,0,0
573.15,36,2997.76431962301,1167.84383437764,-404180.650891696,0.0661572542796458,0.000191419577602632,0.170786115136612,0.151728868496866,0.00234403537087256,0.0279987818782911,0,0.156726460328089,0.439855992996886,0.120501050310477,0,0,0.216870986418887,0,0,0.0380467280673698,0,0
573.15,39,3005.38352720682,1168.02008640346,-399500.858162443,0.0809806618005827,0.000512935105351044,0.161213802037315,0.143224686325545,0.000886490415317654,0.0264901719256556,0,0,0.546255607289957,0.0677616219083883,0,0,0.323487053753119,0,0,0.0360055451228807,0,0
573.15,42,3033.3046340085,1168.39175401888,-395529.710998269,0.0855950126831825,0.00118930116820296,0.159130731039646,0.141374055756296,0,0.026390361977565,0,0,0.584361684642393,0,0,0,0.339417844586231,0.013959615025186,0,0.0358704937686246,0,0
573.15,45,3033.30463401077,1172.81275127262,-386268.872189442,0.0855950126831828,0.00907034110280518,0.159130731039646,0.141374055756296,0,0.0263903619526286,0,0,0.584361684667039,0,0,0,0.339417844586486,0.0139596150251964,0,0.0358704937686503,0,0
573.15,48,3033.30463396799,1177.14154428622,-383806.449968698,0.0855950126831829,0.0165071187964562,0.159130731039646,0.141374055756296,0,0.0263903621115916,0,0,0.584361684513567,0,0,0,0.339417844581698,0.0139596150249995,0,0.0358704937681436,0,0
573.15,51,3033.30463396799,1177.14154428622,-383806.449968698,0.0855950126831829,0.0165071187964562,0.159130731039646,0.141374055756296,0,0.0263903621115916,0,0,0.584361684513567,0,0,0,0.339417844581698,0.0139596150249995,0,0.0358704937681436,0,0
573.15,54,3033.30463382546,1185.52612083095,-381632.528851522,0.0855950126831826,0.0301901301816423,0.159130731039646,0.141374055756296,0,0.0263903624962116,0,0,0.584361684147235,0,0,0,0.33941784456575,0.0139596150243436,0,0.0358704937664597,0,0
573.15,57,3033.30463382546,1185.52612083095,-381632.528851522,0.0855950126831826,0.0301901301816423,0.159130731039646,0.141374055756296,0,0.0263903624962116,0,0,0.584361684147235,0,0,0,0.33941784456575,0.0139596150243436,0,0.0358704937664597,0,0
573.15,60,3033.3046340366,1193.55525459724,-380616.520207435,0.0855950126831827,0.042486790999745,0.159130731039646,0.141374055756296,0,0.0263903620411596,0,0,0.584361684575193,0,0,0,0.339417844589376,0.0139596150253153,0,0.035870493768956,0,0
573.15,63,3033.3046340366,1193.55525459724,-380616.520207435,0.0855950126831827,0.042486790999745,0.159130731039646,0.141374055756296,0,0.0263903620411596,0,0,0.584361684575193,0,0,0,0.339417844589376,0.0139596150253153,0,0.035870493768956,0,0
573.15,66,3033.30463329229,1201.24161610457,-380045.2333255,0.0855950126831826,0.0535976378679298,0.159130731039646,0.141374055756296,0,0.0263903638775974,0,0,0.584361682834268,0,0,0,0.33941784450609,0.0139596150218899,0,0.0358704937601544,0,0
573.15,69,3033.30463329229,1201.24161610457,-380045.2333255,0.0855950126831826,0.0535976378679298,0.159130731039646,0.141374055756296,0,0.0263903638775974,0,0,0.584361682834268,0,0,0,0.33941784450609,0.0139596150218899,0,0.0358704937601544,0,0
573.15,72,3033.30463383887,1208.59949664645,-379694.361705591,0.0855950126831827,0.0636863094837536,0.159130731039646,0.141374055756296,0,0.0263903622256504,0,0,0.584361684416075,0,0,0,0.339417844567251,0.0139596150244053,0,0.0358704937666181,0,0
573.15,75,3033.30463383887,1208.59949664645,-379694.361705591,0.0855950126831827,0.0636863094837536,0.159130731039646,0.141374055756296,0,0.0263903622256504,0,0,0.584361684416075,0,0,0,0.339417844567251,0.0139596150244053,0,0.0358704937666181,0,0
