T,wCO2,rho_s,rho_fl,mu_fl,wC_s,wC_fl,wMg_s,wSi_s,wH_s,Dolomite,Antigorite,Talc,Magnesite,Chlorite,Orthopyroxene,Olivine,"q,tc-ds633","cor,tc-ds633","mt,tc-ds633","hem,tc-ds633"
573.15,10,2974.59423068027,1287.10228707518,-392418.286074727,0.0252489996153566,1.72874610601156e-06,0.195108040124125,0.173336820379073,0.00737749487146089,0.0314265130398131,0.404622972353835,0.322236856798049,0.147851466686005,0.0509450244482905,0,0,0,0,0,0.0429171666740079
573.15,11,2974.59423068027,1287.10228707518,-392418.286074727,0.0252489996153566,1.72874610601156e-06,0.195108040124125,0.173336820379073,0.00737749487146089,0.0314265130398131,0.404622972353835,0.322236856798049,0.147851466686005,0.0509450244482905,0,0,0,0,0,0.0429171666740079
573.15,12,2999.91804405266,1287.10232811889,-392241.22757001,0.0299714606298946,1.79431652716913e-06,0.192998705929343,0.171462857203554,0.00645935539070055,0.0313362831629214,0.285661230547015,0.384811722088665,0.182244121397397,0.0731320387216247,0,0,0,0,0,0.0428146040823772
573.15,13,2999.91804405266,1287.10232811889,-392241.22757001,0.0299714606298946,1.79431652716913e-06,0.192998705929343,0.171462857203554,0.00645935539070055,0.0313362831629214,0.285661230547015,0.384811722088665,0.182244121397397,0.0731320387216247,0,0,0,0,0,0.0428146040823772
573.15,14,3025.11573810646,1287.10235985515,-392108.610508357,0.0345929145340147,1.84504483021106e-06,0.190934487565326,0.169628975588223,0.00556085368262405,0.0312501853143665,0.16409446868684,0.447334047767279,0.216450118688013,0.0981587259388343,0,0,0,0,0,0.0427124536046673
573.15,15,3025.11573810646,1287.10235985515,-392108.610508357,0.0345929145340147,1.84504483021106e-06,0.190934487565326,0.169628975588223,0.00556085368262405,0.0312501853143665,0.16409446868684,0.447334047767279,0.216450118688013,0.0981587259388343,0,0,0,0,0,0.0427124536046673
573.15,16,3025.11573810646,1287.10235985515,-392108.610508357,0.0345929145340147,1.84504483021106e-06,0.190934487565326,0.169628975588223,0.00556085368262405,0.0312501853143665,0.16409446868684,0.447334047767279,0.216450118688013,0.0981587259388343,0,0,0,0,0,0.0427124536046673
573.15,17,3058.32018316421,1287.10709291522,-384353.660797736,0.0413064526838983,9.40667633439479e-06,0.187784030556233,0.166830063763012,0.00432886906802635,0.031059929530128,0,0.521713659466544,0.266824371580495,0.132503688652189,0,0,0.00542957398384161,0,0,0.0424687767868026
573.15,18,3056.59510851732,1287.10711990287,-384331.850695729,0.0434027714725119,9.44984746471467e-06,0.186350444596948,0.16555644514758,0.0041612945034965,0.0308029740028587,0,0.490666080451959,0.281732944504888,0.131473968012612,0,0,0.0232032445740263,0,0,0.0421207884536563
573.15,19,3056.59510851732,1287.10711990287,-384331.850695729,0.0434027714725119,9.44984746471467e-06,0.186350444596948,0.16555644514758,0.0041612945034965,0.0308029740028587,0,0.490666080451959,0.281732944504888,0.131473968012612,0,0,0.0232032445740263,0,0,0.0421207884536563
